,companyNm,directorNm,genreNm,movieNm,nationNm,openDt,peopleNm,showTm,watchGradeNm
0,(주)스튜디오후크,이준학,"공포(호러), 멜로/로맨스, 코미디",귀신의 향기,한국,20190703,이엘,93.0,15세이상관람가
1,서울독립영화제,김한라,드라마,한낮의 피크닉,한국,20190704,권해효,78.0,12세이상관람가
2,(주)홈초이스,리차드 이어,드라마,칠드런 액트,영국,20190704,엠마 톰슨,105.0,12세이상관람가
3,(주)이놀미디어,조 실,"미스터리, 스릴러",오시로가의 비밀,미국,20190704,카렌 후쿠하라,87.0,12세이상관람가
4,예지림엔터테인먼트,원종식,"애니메이션, 판타지",별의 정원,한국,20190704,김연우,74.0,전체관람가
5,(주)삼백상회,멜라니 로랑,"드라마, 범죄",갤버스턴,미국,20190704,벤 포스터,93.0,15세이상관람가
6,"(주)영화사 그램, (주)디오시네마",사이토 타쿠미,"드라마, 가족",13년의 공백,일본,20190704,타카하시 잇세이,70.0,12세이상관람가
7,(주)플라이어,요시다 쇼,"드라마, 성인물(에로)",아저씨 안마만 하세요,일본,20190702,오토와 아야코,60.0,청소년관람불가
8,(주)영진크리에이티브,츠지 코지,"멜로/로맨스, 드라마",마조히스트:형수,일본,20190702,야마모토 미와코,70.0,청소년관람불가
9,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,존 왓츠,"액션, 어드벤처, 코미디, SF",스파이더맨: 파 프롬 홈,미국,20190702,톰 홀랜드,129.0,12세이상관람가
10,레이크엔터테인먼트,이자준,"액션, 스릴러",생사결,홍콩,20190701,장진,99.0,청소년관람불가
