,COMPANY_NM,GENRE_NM,MOVIE_NM,NATION_NM,OPEN_DT,SHOW_TM,WATCH_GRADE_NM
0,(주)팝엔터테인먼트,공포(호러),미드소마,미국,20190711,147.0,청소년관람불가
1,(주)리틀빅픽쳐스,애니메이션,극장판 샤이닝스타:새로운 루나퀸의 탄생!,한국,20190718,77.0,전체관람가
2,케이티하이텔(주),"액션, 범죄",난폭한 기록,한국,20190711,90.0,청소년관람불가
3,(주)팝엔터테인먼트,"멜로/로맨스, SF",조,미국,20190711,103.0,15세이상관람가
4,찬란,드라마,매니페스토,"독일, 호주",20190725,94.0,15세이상관람가
5,(주)넥스트엔터테인먼트월드(NEW),애니메이션,극장판 엉덩이 탐정: 화려한 사건 수첩,일본,20190711,68.0,전체관람가
6,(주)넥스트엔터테인먼트월드(NEW),"애니메이션, 코미디, 판타지, 어드벤처, 멜로/로맨스",레드슈즈,한국,20190725,92.0,전체관람가
7,월트디즈니컴퍼니코리아 유한책임회사,"어드벤처, 드라마, 가족",라이온 킹,미국,20190717,118.0,전체관람가
8,㈜인디스토리,"드라마, 멜로/로맨스",굿바이 썸머,한국,20190725,71.0,12세이상관람가
9,유니버설픽쳐스인터내셔널 코리아(유),"애니메이션, 어드벤처, 코미디",마이펫의 이중생활 2,미국,20190731,85.0,전체관람가
10,(주)엣나인필름,"코미디, 드라마",수영장으로 간 남자들,프랑스,20190718,121.0,15세이상관람가
11,(주)영화사 진진,다큐멘터리,마리아 칼라스: 세기의 디바,프랑스,20190711,113.0,전체관람가
12,(주)영화사오원,코미디,그녀들을 도와줘,미국,20190725,90.0,15세이상관람가
13,(주)디스테이션,"미스터리, 스릴러",우리는 언제나 성에 살았다,미국,20190711,95.0,15세이상관람가
14,(주)미로스페이스,다큐멘터리,알랭 뒤카스: 위대한 여정,프랑스,20190801,80.0,전체관람가
15,메가박스중앙(주)플러스엠,사극,나랏말싸미,한국,20190724,109.0,전체관람가
16,"TCO(주)더콘텐츠온, (주)제이앤씨미디어그룹",코미디,롱 샷,미국,20190724,124.0,15세이상관람가
17,씨제이이앤엠(주),애니메이션,명탐정 코난: 감청의 권,일본,20190724,109.0,12세이상관람가
18,(주)스마일이엔티,"드라마, 어드벤처",이케아 옷장에서 시작된 특별난 여행,프랑스,20190718,95.0,12세이상관람가
19,"오드, (주)티캐스트",드라마,누구나 아는 비밀,"스페인, 프랑스, 이탈리아",20190801,132.0,15세이상관람가
20,(주)리틀빅픽쳐스,스릴러,진범,한국,20190710,100.0,15세이상관람가
21,찬란,다큐멘터리,캘리포니아 타이프라이터,"미국, 캐나다, 프랑스, 인도",20190725,104.0,전체관람가
22,유니버설픽쳐스인터내셔널 코리아(유),"코미디, 판타지, 공포(호러)",데드 돈 다이,미국,20190731,104.0,15세이상관람가
23,판씨네마(주),"코미디, 사극",기방도령,한국,20190710,110.0,15세이상관람가
24,(주)이수C&E,"공포(호러), 스릴러",사일런스,미국,20190717,90.0,15세이상관람가
25,찬란,드라마,파리 에듀케이션,프랑스,20190725,142.0,15세이상관람가
26,(주)영화사 빅,공포(호러),나이트메어 시네마,미국,20190717,119.0,청소년관람불가
